,year,biome,country_of_production,product_type,forest_500_beef,zero_deforestation_paraguay_beef,department,district_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob,cattle_deforestation_5_year_total_exposure,co2_emissions_cattle_deforestation_5_year_total_exposure,land_use,department_trase_id
12,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,,{NONE},PRESIDENTE HAYES,ASUNCION,COOPERATIVA NEULAND,COOPERATIVA NEULAND,CHILE,CHILE,11163.030488133,38275032.03999996,8729.378211415127,2627849.824974376,70142.08347216844,PY-15
13,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,0.0,{NONE},AMAMBAY,CONCEPCION,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,CHILE,CHILE,10862.160910780356,29270689.311000004,442.1985706778683,168598.9857656412,3873.5583796765377,PY-13
14,2019,CHACO HUMEDO,PARAGUAY,BEEF,,{UNKNOWN},CORDILLERA,,DOMESTIC,DOMESTIC,PARAGUAY,PARAGUAY,8697.482967,,1302.1001749895695,496479.0290290686,14326.146231755414,PY-03
15,2019,CHACO HUMEDO,PARAGUAY,BEEF,,{UNKNOWN},CONCEPCION,,DOMESTIC,DOMESTIC,PARAGUAY,PARAGUAY,8187.067383,,950.35478181864,362382.8536429478,12020.835731424564,PY-01
16,2019,MATA ATLANTICA,PARAGUAY,BEEF,,{UNKNOWN},ALTO PARANA,,DOMESTIC,DOMESTIC,PARAGUAY,PARAGUAY,7704.1637,,,,,PY-10
17,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,0.0,{NONE},AMAMBAY,CONCEPCION,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,BRAZIL,BRAZIL,7088.198304218534,26580479.912999988,288.56055296473653,110020.74585462271,2527.7244706313413,PY-13
18,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,4.0,{NONE},CONCEPCION,ASUNCION,JBS PARAGUAY,MINERVA,RUSSIAN FEDERATION,RUSSIAN FEDERATION,6703.936351436177,16182598.750999993,778.1929316747113,296735.26209380326,9843.197064906828,PY-01
19,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,0.0,{NONE},PRESIDENTE HAYES,LOMA PLATA,COOPERATIVA CHORTITZER,COOPERATIVA CHORTITZER,CHILE,CHILE,6365.222984837488,21172070.850000005,4977.5407219130675,1498414.8009279163,39995.41185487774,PY-15
20,2019,MATA ATLANTICA,PARAGUAY,BEEF,,{UNKNOWN},CAAZAPA,,DOMESTIC,DOMESTIC,PARAGUAY,PARAGUAY,5722.993276,,487.7707169134801,185986.69393243943,4052.058066724224,PY-06
21,2019,MATA ATLANTICA,PARAGUAY,BEEF,,{UNKNOWN},GUAIRA,,DOMESTIC,DOMESTIC,PARAGUAY,PARAGUAY,5584.331801,,133.01878349982,50729.01941669017,900.0143579335603,PY-04
22,2019,MATA ATLANTICA,PARAGUAY,BEEF,,{UNKNOWN},AMAMBAY,,DOMESTIC,DOMESTIC,PARAGUAY,PARAGUAY,5539.333354,,225.50626084134004,85979.75973411472,1975.3832876764975,PY-13
23,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,4.0,{NONE},ALTO PARAGUAY,ASUNCION,FRIGOMERC,MINERVA,RUSSIAN FEDERATION,RUSSIAN FEDERATION,5419.871976695294,12870537.936000014,23987.3235931778,5502867.180857786,104285.53980156271,PY-17
24,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,4.0,{NONE},BOQUERON,ASUNCION,FRIGOMERC,MINERVA,RUSSIAN FEDERATION,RUSSIAN FEDERATION,5334.8497878338285,12668636.193999996,39793.07135543555,8853962.591115743,145062.38261308032,PY-16
25,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,,{NONE},ALTO PARAGUAY,VILLETA,FRIGORIFICO NORTE,FRIGORIFICO NORTE,RUSSIAN FEDERATION,RUSSIAN FEDERATION,5282.232063327651,13109167.499999998,23378.155488196153,5363119.569603557,101637.164945938,PY-17
26,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,,{NONE},ALTO PARAGUAY,JOSE FALCON,FRIGORIFICO NORTE,FRIGORIFICO NORTE,CHILE,CHILE,4996.718637854036,16575546.629999995,22114.527314600775,5073234.039928919,96143.5071945857,PY-17
27,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,0.0,{NONE},BOQUERON,ASUNCION,COOPERATIVA FERNHEIM,COOPERATIVA FERNHEIM,CHILE,CHILE,4814.6829871341315,15609618.128999982,35913.10557567246,7990669.7941866815,130918.28512831122,PY-16
28,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,4.0,{NONE},ALTO PARAGUAY,ASUNCION,FRIGOMERC,MINERVA,ISRAEL,ISRAEL,4739.472986776695,17653852.527000003,20976.006939606163,4812049.152754695,91193.75899028173,PY-17
29,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,4.0,{NONE},BOQUERON,VILLA HAYES,JBS PARAGUAY,MINERVA,CHILE,CHILE,4722.456815537978,15052034.943999987,35225.18318364302,7837606.989101456,128410.520388331,PY-16
30,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,4.0,{NONE},BOQUERON,ASUNCION,FRIGOMERC,MINERVA,ISRAEL,ISRAEL,4665.124271937567,17376914.333000004,34797.53515432407,7742455.257285279,126851.56452139908,PY-16
31,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,,{NONE},ALTO PARAGUAY,ASUNCION,FRIGORIFICO NORTE,FRIGORIFICO NORTE,RUSSIAN FEDERATION,RUSSIAN FEDERATION,4393.800410185973,10228384.47,19446.125793405183,4461083.247061205,84542.55922036746,PY-17
32,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,4.0,{NONE},PRESIDENTE HAYES,ASUNCION,JBS PARAGUAY,MINERVA,TAIWAN,TAIWAN,4353.770809530411,14208594.670000017,3404.605235344686,1024905.9045360124,27356.59961382468,PY-15
33,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,0.0,{NONE},PRESIDENTE HAYES,ASUNCION,COOPERATIVA FERNHEIM,COOPERATIVA FERNHEIM,CHILE,CHILE,4235.56182868197,13732057.72100001,3312.166994411014,997078.7432680038,26613.842151086803,PY-15
34,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,4.0,{NONE},PRESIDENTE HAYES,VILLA HAYES,JBS PARAGUAY,MINERVA,CHILE,CHILE,4154.428940937495,13241541.91100001,3248.721887523712,977979.534940513,26104.049600527997,PY-15
35,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,0.0,{NONE},BOQUERON,ASUNCION,COOPERATIVA FERNHEIM,COOPERATIVA FERNHEIM,RUSSIAN FEDERATION,RUSSIAN FEDERATION,4104.852753118575,9307870.908000002,30618.425073731694,6812602.821738977,111616.96098757906,PY-16
36,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,,{NONE},PRESIDENTE HAYES,VILLA HAYES,COOPERATIVA NEULAND,COOPERATIVA NEULAND,CHILE,CHILE,4084.738562976,14407468.599999994,3194.2247088616027,961573.967677824,25666.15522109594,PY-15
37,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,0.0,{NONE},PRESIDENTE HAYES,LOMA PLATA,COOPERATIVA CHORTITZER,COOPERATIVA CHORTITZER,RUSSIAN FEDERATION,RUSSIAN FEDERATION,3722.689901640223,8657392.75,2911.1062761836383,876345.3631035701,23391.24900710707,PY-15
38,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,4.0,{NONE},NEEMBUCU,ASUNCION,FRIGOMERC,MINERVA,RUSSIAN FEDERATION,RUSSIAN FEDERATION,3658.758556225406,8739429.56,29.013955350867473,11059.475838244787,1199.8794748523435,PY-12
39,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,0.0,{NONE},PRESIDENTE HAYES,ASUNCION,COOPERATIVA FERNHEIM,COOPERATIVA FERNHEIM,RUSSIAN FEDERATION,RUSSIAN FEDERATION,3611.111620900612,8188298.992000002,2823.85317642807,850079.1116744237,22690.15506226488,PY-15
40,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,,{NONE},BOQUERON,ASUNCION,FRIGORIFICO GUARANI,FRIGORIFICO GUARANI,ISRAEL,ISRAEL,3391.8088524111545,11888930.560000002,25299.773574842995,5629202.29993156,92228.25254067406,PY-16
41,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,0.0,{NONE},CANINDEYU,CONCEPCION,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,CHILE,CHILE,3138.2006994558305,8456631.988999996,,,,PY-14
42,2019,CHACO HUMEDO,PARAGUAY,BEEF OFFALS,4.0,{NONE},PRESIDENTE HAYES,ASUNCION,JBS PARAGUAY,MINERVA,RUSSIAN FEDERATION,RUSSIAN FEDERATION,3108.5795774868648,6849114.549999999,2430.8781437989537,731779.8072218659,19532.531818824136,PY-15
43,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,0.0,{NONE},SAN PEDRO,SAN ANTONIO,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,RUSSIAN FEDERATION,RUSSIAN FEDERATION,3005.6595211951803,7480470.576999997,221.87778585462823,84603.9955042918,4200.772136943689,PY-02
44,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,4.0,{NONE},CONCEPCION,VILLA HAYES,JBS PARAGUAY,MINERVA,CHILE,CHILE,2952.3122604600726,9409997.630999995,342.7044071942052,130677.72521478252,4334.795238714266,PY-01
45,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,4.0,{NONE},SAN PEDRO,SAN ANTONIO,JBS PARAGUAY,MINERVA,RUSSIAN FEDERATION,RUSSIAN FEDERATION,2687.7184790241795,6642466.460000001,198.40737812156496,75654.51792282278,3756.411136729105,PY-02
46,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,0.0,{NONE},BOQUERON,ASUNCION,COOPERATIVA FERNHEIM,COOPERATIVA FERNHEIM,ISRAEL,ISRAEL,2634.151710258353,9318425.961999994,19648.34833895387,4371759.586397088,71626.44468937376,PY-16
47,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,4.0,{NONE},PRESIDENTE HAYES,ASUNCION,JBS PARAGUAY,MINERVA,ISRAEL,ISRAEL,2472.7682739855736,9400747.369999995,1933.6800625739788,582105.6999623022,15537.458118170418,PY-15
48,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,0.0,{NONE},PRESIDENTE HAYES,ASUNCION,COOPERATIVA FERNHEIM,COOPERATIVA FERNHEIM,ISRAEL,ISRAEL,2317.3099596275133,8197584.478000001,1812.1132153291192,545509.8038379546,14560.647199868486,PY-15
49,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,4.0,{NONE},ALTO PARAGUAY,ASUNCION,FRIGOMERC,MINERVA,CHILE,CHILE,2184.887001332314,7114301.559000001,9669.89473936657,2218344.460019026,42040.12960436906,PY-17
50,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,0.0,{NONE},ALTO PARAGUAY,ASUNCION,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,ISRAEL,ISRAEL,2168.716037444052,8212448.631000001,9598.32512568026,2201925.8680585176,41728.97876806697,PY-17
51,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,4.0,{NONE},BOQUERON,ASUNCION,FRIGOMERC,MINERVA,CHILE,CHILE,2150.6124226031006,7002698.628999999,16041.590109190336,3569255.4982786635,58478.30295270012,PY-16
52,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,4.0,{NONE},NEEMBUCU,ASUNCION,FRIGOMERC,MINERVA,BRAZIL,BRAZIL,2140.7061135421254,7157137.562999998,16.975799480389053,6470.797997648325,702.0384886998492,PY-12
53,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,,{NONE},ALTO PARAGUAY,VILLETA,FRIGORIFICO NORTE,FRIGORIFICO NORTE,TAIWAN,TAIWAN,2114.5336274781766,6534300.82,9358.524073829189,2146913.7558051217,40686.43719229968,PY-17
54,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,0.0,{NONE},CAAGUAZU,VILLETA,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,RUSSIAN FEDERATION,RUSSIAN FEDERATION,2089.4384102291738,5326602.625000003,72.10651953700878,27496.25728078824,512.529761286151,PY-05
55,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,0.0,{NONE},CANINDEYU,CONCEPCION,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,BRAZIL,BRAZIL,2047.860362871282,7679400.176999995,,,,PY-14
56,2019,CHACO HUMEDO,PARAGUAY,BEEF,,{UNKNOWN},CENTRAL,,DOMESTIC,DOMESTIC,PARAGUAY,PARAGUAY,2032.044458,,362.55737219636,138244.71914132714,4372.928492473412,PY-11
57,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,0.0,{NONE},ALTO PARAGUAY,ASUNCION,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,TAIWAN,TAIWAN,1911.8774574666872,6034418.963000001,8461.60637003064,1941154.285516944,36787.063152721035,PY-17
58,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,4.0,{NONE},CONCEPCION,ASUNCION,JBS PARAGUAY,MINERVA,BRAZIL,BRAZIL,1910.8728313897964,7015475.062000003,221.8141182677275,84580.65839615354,2805.6796573429265,PY-01
59,2019,CHACO HUMEDO,PARAGUAY,BEEF,,{UNKNOWN},PRESIDENTE HAYES,,DOMESTIC,DOMESTIC,PARAGUAY,PARAGUAY,1800.021874,,1407.5991052492602,423736.8312815623,11310.305447257932,PY-15
60,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,0.0,{NONE},PRESIDENTE HAYES,LOMA PLATA,COOPERATIVA CHORTITZER,COOPERATIVA CHORTITZER,VIETNAM,VIETNAM,1799.0027814530913,4260458.48,1406.802185068503,423496.9302821093,11303.902053970858,PY-15
61,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,0.0,{NONE},AMAMBAY,VILLETA,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,RUSSIAN FEDERATION,RUSSIAN FEDERATION,1795.4934763174945,4577249.200000001,73.09453942088521,27869.07518148773,640.2914537881331,PY-13
62,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,,{UNKNOWN},ALTO PARAGUAY,ASUNCION,SANEGO,SANEGO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,1781.099066250688,4378712.021,7882.806058402957,1808373.2677950636,34270.713102206326,PY-17
63,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,,{UNKNOWN},BOQUERON,ASUNCION,SANEGO,SANEGO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,1753.158743493851,4310022.619,13076.951320420114,2909623.0537888827,47670.95504922091,PY-16
64,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,4.0,{NONE},PRESIDENTE HAYES,ASUNCION,JBS PARAGUAY,MINERVA,VIETNAM,VIETNAM,1679.4853899404154,3831016.35,1313.3407800795055,395361.7606521545,10552.923288771764,PY-15
65,2019,CHACO SECO,PARAGUAY,BEEF OFFALS,0.0,{NONE},ALTO PARAGUAY,ASUNCION,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,RUSSIAN FEDERATION,RUSSIAN FEDERATION,1595.1013487760804,2513966.7279999997,7059.615500426665,1619527.343093064,30691.86982839804,PY-17
66,2019,CHACO HUMEDO,PARAGUAY,BEEF OFFALS,4.0,{NONE},PRESIDENTE HAYES,ASUNCION,JBS PARAGUAY,MINERVA,VIETNAM,VIETNAM,1584.4023679341883,5920423.880000001,1238.986807700856,372978.6001830758,9955.476092561315,PY-15
67,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,,{NONE},PRESIDENTE HAYES,ASUNCION,COOPERATIVA NEULAND,COOPERATIVA NEULAND,RUSSIAN FEDERATION,RUSSIAN FEDERATION,1498.50610669176,3641192.0,1171.8167903718895,352758.06281987275,9415.753233932695,PY-15
68,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,,{NONE},PRESIDENTE HAYES,PEDRO JUAN CABALLERO,FRIGORIFICO NORTE,FRIGORIFICO NORTE,BRAZIL,BRAZIL,1448.5079458889334,5033175.35,1132.7187286056871,340988.1712788237,9101.5934569604,PY-15
69,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,0.0,{NONE},CAAZAPA,VILLETA,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,RUSSIAN FEDERATION,RUSSIAN FEDERATION,1420.9085491930657,3622320.314,121.10403564772498,46176.899167958625,1006.047652192834,PY-06
70,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,4.0,{NONE},AMAMBAY,ASUNCION,FRIGOMERC,MINERVA,CHILE,CHILE,1319.9412429561428,4297915.667000001,53.73480800074458,20487.7055919675,470.70463274568755,PY-13
71,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,,{UNKNOWN},CAAGUAZU,VILLETA,SANEGO,SANEGO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,1278.3643142346525,3279696.1829999993,44.11635248423786,16822.814164174903,313.57696575490684,PY-05
72,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,0.0,{NONE},PRESIDENTE HAYES,ASUNCION,COOPERATIVA CHORTITZER,COOPERATIVA CHORTITZER,RUSSIAN FEDERATION,RUSSIAN FEDERATION,1267.8363356901018,3133324.0599999996,991.4353361463028,298456.9016792686,7966.356643167824,PY-15
73,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,,{NONE},ALTO PARAGUAY,VILLETA,FRIGORIFICO NORTE,FRIGORIFICO NORTE,RUSSIAN FEDERATION,RUSSIAN FEDERATION,1203.5175289400415,2645835.649999999,5326.539914758126,1221947.149317979,23157.276722739694,PY-17
74,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,0.0,{NONE},PRESIDENTE HAYES,CIUDAD DEL ESTE,COOPERATIVA CHORTITZER,COOPERATIVA CHORTITZER,LEBANON,LEBANON,1187.3324523898498,4463134.429999999,928.4821044443388,279505.76508018665,7460.516395908552,PY-15
75,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,4.0,{NONE},NEEMBUCU,ASUNCION,JBS PARAGUAY,MINERVA,CHILE,CHILE,1172.8238618016803,3797069.061000003,9.300493224087324,3545.1416000224112,384.6242537645605,PY-12
76,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,0.0,{NONE},CAAGUAZU,VILLETA,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,ISRAEL,ISRAEL,1148.0513787033906,4275750.629000001,39.619253079054005,15107.942845240286,281.61179395881175,PY-05
77,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,4.0,{NONE},NEEMBUCU,ASUNCION,FRIGOMERC,MINERVA,URUGUAY,URUGUAY,1125.1577435783113,3598433.903,8.922500906576008,3401.059317823905,368.9922857012975,PY-12
78,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,,{NONE},PRESIDENTE HAYES,ASUNCION,COOPERATIVA NEULAND,COOPERATIVA NEULAND,VIETNAM,VIETNAM,1114.518720812,2395940.0,871.542494487776,262364.9401056429,7002.996653067844,PY-15
79,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,,{NONE},ALTO PARAGUAY,ASUNCION,FRIGORIFICO NORTE,FRIGORIFICO NORTE,TAIWAN,TAIWAN,1101.878184385191,3509712.5000000005,4876.703487233822,1118751.3882668454,21201.60065556393,PY-17
80,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,4.0,{NONE},BOQUERON,VILLETA,FRIGOMERC,MINERVA,RUSSIAN FEDERATION,RUSSIAN FEDERATION,1097.5375429905084,2608893.8799999994,8186.620336169642,1821523.891852404,29843.65395940336,PY-16
81,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,,{NONE},BOQUERON,ASUNCION,FRIGORIFICO GUARANI,FRIGORIFICO GUARANI,RUSSIAN FEDERATION,RUSSIAN FEDERATION,1064.7323007228474,2313282.547,7941.923409675777,1767078.7997913775,28951.63135430608,PY-16
82,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,4.0,{NONE},BOQUERON,VILLETA,JBS PARAGUAY,MINERVA,RUSSIAN FEDERATION,RUSSIAN FEDERATION,1022.0370348186212,2604340.5340000005,7623.45600567488,1696219.7686719184,27790.684515186003,PY-16
83,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,4.0,{NONE},ALTO PARAGUAY,ASUNCION,FRIGOMERC,MINERVA,TAIWAN,TAIWAN,1016.1695412081066,3239908.8879999993,4497.373317174251,1031730.2774946667,19552.4524546812,PY-17
84,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,4.0,{NONE},BOQUERON,ASUNCION,FRIGOMERC,MINERVA,TAIWAN,TAIWAN,1000.228763867372,3189084.032000001,7460.786367987837,1660025.7570580172,27197.685673480217,PY-16
85,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,0.0,{NONE},AMAMBAY,VILLETA,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,ISRAEL,ISRAEL,986.5420073054008,3674232.431000001,40.16212511740287,15312.789343952092,351.8110337978973,PY-13
86,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,4.0,{NONE},SAN PEDRO,SAN ANTONIO,JBS PARAGUAY,MINERVA,BRAZIL,BRAZIL,965.6696987444336,3456115.2539999997,71.2857371613141,27181.892784289023,1349.6400159001903,PY-02
87,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,4.0,{NONE},BOQUERON,SAN ANTONIO,FRIGOMERC,MINERVA,RUSSIAN FEDERATION,RUSSIAN FEDERATION,944.2946351807004,2423573.867000001,7043.56922738366,1567194.899085626,25676.754757078572,PY-16
88,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,4.0,{NONE},CAAGUAZU,VILLETA,JBS PARAGUAY,MINERVA,RUSSIAN FEDERATION,RUSSIAN FEDERATION,934.1038205101556,2201364.1140000005,32.235922845805476,12292.470000538266,229.131428712484,PY-05
89,2019,CHACO HUMEDO,PARAGUAY,BEEF OFFALS,,{UNKNOWN},CONCEPCION,VILLA HAYES,HAWKER INTERNATIONAL,HAWKER INTERNATIONAL,ARGENTINA,ARGENTINA,928.0000007424006,1520018.5,107.72224008617783,41075.915552860766,1362.555729155194,PY-01
90,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,0.0,{NONE},BOQUERON,ASUNCION,COOPERATIVA FERNHEIM,COOPERATIVA FERNHEIM,TAIWAN,TAIWAN,906.3762253376344,2868834.3890000004,6760.732774891441,1504263.7584505638,24645.69763354372,PY-16
91,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,,{UNKNOWN},AMAMBAY,VILLETA,SANEGO,SANEGO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,900.6892851324515,2310755.3839999996,36.6670607977421,13980.210863254668,321.19506943108166,PY-13
92,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,0.0,{NONE},ITAPUA,SAN ANTONIO,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,RUSSIAN FEDERATION,RUSSIAN FEDERATION,883.6239172256181,2199158.8629999994,41.8837736764943,15969.20488166826,345.9330010477347,PY-07
93,2019,MATA ATLANTICA,PARAGUAY,BEEF BONELESS,,{UNKNOWN},CAAZAPA,VILLETA,SANEGO,SANEGO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,869.3430590476933,2230335.3469999996,74.0941089226349,28252.04113439079,615.5220503119317,PY-06
94,2019,MATA ATLANTICA,PARAGUAY,BEEF OFFALS,0.0,{NONE},AMAMBAY,CONCEPCION,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,BRAZIL,BRAZIL,857.5433556860347,2572971.1300000004,34.91059000997848,13310.51355308481,305.8087869106091,PY-13
95,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,,{NONE},BOQUERON,ASUNCION,FRIGORIFICO GUARANI,FRIGORIFICO GUARANI,VIETNAM,VIETNAM,815.1066415908989,1893211.874,6079.945648157843,1352788.5506493668,22163.94391882828,PY-16
96,2019,CHACO SECO,PARAGUAY,BEEF OFFALS,4.0,{NONE},ALTO PARAGUAY,ASUNCION,FRIGOMERC,MINERVA,RUSSIAN FEDERATION,RUSSIAN FEDERATION,810.1053798147512,1542256.2579999994,3585.372491037924,822510.628809554,15587.50413172,PY-17
